الشهر|رقم_الدعوي|الموضوع|تصنيفات_الأحكام|منطوق_الحكم|العضو
نوفمبر 2024|٥٥١٨ لسنة ٥١ ق|وقف تنفيذ وإلغاء قرار نقل.|أحكام بالأحقية / الإلــــغاء|بقبول الدعوي شكلًا وبالإلغاء|محمد أحمد محمد سليم
يناير 2025|٣٢٥ لسنة ٥٣ ق|مكافآة تدريب أطباء الإمتيـــــــــــــــــاز.|أحكام بعدم الإختصــــاص|"بعدم اختصاصها نوعيا بنظر الدعوى، وإحالتها بحالتها إلى محكمة القضاء الإداري بكفر الشيخ (الدائرة الرابعة والسبعون)؛ للاختصاص، وأبقت الفصل في المصروفات صدر هذا الحكم وتلى علنا بالجلسة المنعقدة يوم الأحد الموافق"|محمد أحمد محمد سليم
يناير 2025|٣٢٦ لسنة ٥٣ ق|مكافآة تدريب أطباء الإمتيـــــــــــــــــاز.|أحكام بعدم الإختصــــاص|"بعدم اختصاصها نوعيا بنظر الدعوى، وإحالتها بحالتها إلى محكمة القضاء الإداري بكفر الشيخ (الدائرة الرابعة والسبعون)؛ للاختصاص، وأبقت الفصل في المصروفات صدر هذا الحكم وتلى علنا بالجلسة المنعقدة يوم الأحد الموافق"|محمد أحمد محمد سليم
نوفمبر 2024|١١٠٤٣ لسنة ٥٢ ق|مكافآة تدريب أطباء الإمتيـــــــــــــــــاز.|أحكام بعدم الإختصــــاص|"بعدم اختصاصها نوعيا بنظر الدعوى، وإحالتها بحالتها إلى محكمة القضاء الإداري بكفر الشيخ (الدائرة الرابعة والسبعون)؛ للاختصاص، وأبقت الفصل في المصروفات"|محمد أحمد محمد سليم
نوفمبر 2024|١١٠٤٤ لسنة ٥٢ ق|مكافآة تدريب أطباء الإمتيـــــــــــــــــاز.|أحكام بعدم الإختصــــاص|"بعدم اختصاصها نوعيا بنظر الدعوى، وإحالتها بحالتها إلى محكمة القضاء الإداري بكفر الشيخ (الدائرة الرابعة والسبعون)؛ للاختصاص، وأبقت الفصل في المصروفات"|محمد أحمد محمد سليم
نوفمبر 2024|١١٩٥٢ لسنة ٥٢ ق|مكافآة تدريب أطباء الإمتيـــــــــــــــــاز.|أحكام بعدم الإختصــــاص|"بعدم اختصاصها نوعيا بنظر الدعوى، وإحالتها بحالتها إلى محكمة القضاء الإداري بكفر الشيخ (الدائرة الرابعة والسبعون)؛ للاختصاص، وأبقت الفصل في المصروفات"|محمد أحمد محمد سليم
نوفمبر 2024|١١٩٥٣ لسنة ٥٢ ق|مكافآة تدريب أطباء الإمتيـــــــــــــــــاز.|أحكام بعدم الإختصــــاص|"بعدم اختصاصها نوعيا بنظر الدعوى، وإحالتها بحالتها إلى محكمة القضاء الإداري بكفر الشيخ (الدائرة الرابعة والسبعون)؛ للاختصاص، وأبقت الفصل في المصروفات"|محمد أحمد محمد سليم
نوفمبر 2024|١١٩٥٤ لسنة ٥٢ ق|مكافآة تدريب أطباء الإمتيـــــــــــــــــاز.|أحكام بعدم الإختصــــاص|"بعدم اختصاصها نوعيا بنظر الدعوى، وإحالتها بحالتها إلى محكمة القضاء الإداري بكفر الشيخ (الدائرة الرابعة والسبعون)؛ للاختصاص، وأبقت الفصل في المصروفات"|محمد أحمد محمد سليم
نوفمبر 2024|١١٩٥٥ لسنة ٥٢ ق|مكافآة تدريب أطباء الإمتيـــــــــــــــــاز.|أحكام بعدم الإختصــــاص|"بعدم اختصاصها نوعيا بنظر الدعوى، وإحالتها بحالتها إلى محكمة القضاء الإداري بكفر الشيخ (الدائرة الرابعة والسبعون)؛ للاختصاص، وأبقت الفصل في المصروفات"|محمد أحمد محمد سليم
نوفمبر 2024|١١٩٥٦ لسنة ٥٢ ق|مكافآة تدريب أطباء الإمتيـــــــــــــــــاز.|أحكام بعدم الإختصــــاص|"بعدم اختصاصها نوعيا بنظر الدعوى، وإحالتها بحالتها إلى محكمة القضاء الإداري بكفر الشيخ (الدائرة الرابعة والسبعون)؛ للاختصاص، وأبقت الفصل في المصروفات"|محمد أحمد محمد سليم
نوفمبر 2024|١١٩٥٧ لسنة ٥٢ ق|مكافآة تدريب أطباء الإمتيـــــــــــــــــاز.|أحكام بعدم الإختصــــاص|"بعدم اختصاصها نوعيا بنظر الدعوى، وإحالتها بحالتها إلى محكمة القضاء الإداري بكفر الشيخ (الدائرة الرابعة والسبعون)؛ للاختصاص، وأبقت الفصل في المصروفات"|محمد أحمد محمد سليم
