الشهر|رقم_الدعوي|الموضوع|تصنيفات_الأحكام|منطوق_الحكم|العضو
ديسمبر 2024|7073 لسنة 52 ق|وقف تنفيذ وإلغاء قرار نقل.|ترك الخصومة|: بإثبات ترك المدعـي للخصـومة فى الدعـوى.| مصطفى أحمد عبد الفتاح يوسف على
مايو 2025|2288 لسنة 53 ق|إعادة حساب الحوافز والبدلات|أحكام بعدم الإختصــــاص|بعدم إختصاصها نوعيا بنظر الدعوى، وأمرت بإحالتها بحالتها إلى محكمة القضاء الإداري بمحافظة كفر الشيخ ـ الدائرة السادسة والسبعين- للإختصاص، وأبقت الفصل في المصروفات . صدر هذا الحكم وتلي علنا بالجلسة المنعقدة يوم الأحد الموافق| مصطفى أحمد عبد الفتاح يوسف على
إبريل 2025|942 لسنة 53 ق|إعادة حساب الحوافز والبدلات|أحكام بعدم الإختصــــاص|بعدم اختصاصها نوعيا بنظر الدعوى، وأمرت بإحالتها بحالتها إلى محكمة القضاء الإداري بمحافظة كفر الشيخ ـ الدائرة السادسة والسبعين- للاختصاص، وأبقت الفصل في المصروفات . صدر هذا الحكم وتلي علنا بالجلسة المنعقدة يوم الأحد الموافق| مصطفى أحمد عبد الفتاح يوسف على
إبريل 2025|1607 لسنة 53 ق|إعادة حساب الحوافز والبدلات|أحكام بعدم الإختصــــاص|بعدم اختصاصها نوعيا بنظر الدعوى، وأمرت بإحالتها بحالتها إلى محكمة القضاء الإداري بمحافظة كفر الشيخ ـ الدائرة السابعة والسبعون| مصطفى أحمد عبد الفتاح يوسف على
إبريل 2025|1608 لسنة 53 ق|إعادة حساب الحوافز والبدلات|أحكام بعدم الإختصــــاص|بعدم اختصاصها نوعيا بنظر الدعوى، وأمرت بإحالتها بحالتها إلى محكمة القضاء الإداري بمحافظة كفر الشيخ ـ الدائرة السابعة والسبعون| مصطفى أحمد عبد الفتاح يوسف على
نوفمبر 2024|10973 لسنة 52 ق|مكافآة تدريب أطباء الإمتيـــــــــــــــــاز.|أحكام بعدم الإختصــــاص|بعدم إختصاصها نوعيا بنظر الدعوى،وإحالتها بحالتها إلى محكمة القضاء الإداري بكفر الشيخ (الدائرة الرابعة والسبعون) للإختصاص، وأبقت الفصل في المصروفات .| مصطفى أحمد عبد الفتاح يوسف على
نوفمبر 2024|10981 لسنة 52 ق|مكافآة تدريب أطباء الإمتيـــــــــــــــــاز.|أحكام بعدم الإختصــــاص|بعدم إختصاصها نوعيا بنظر الدعوى،وإحالتها بحالتها إلى محكمة القضاء الإداري بكفر الشيخ (الدائرة الرابعة والسبعون) للإختصاص، وأبقت الفصل في المصروفات .| مصطفى أحمد عبد الفتاح يوسف على
نوفمبر 2024|10982 لسنة 52 ق|مكافآة تدريب أطباء الإمتيـــــــــــــــــاز.|أحكام بعدم الإختصــــاص|بعدم إختصاصها نوعيا بنظر الدعوى،وإحالتها بحالتها إلى محكمة القضاء الإداري بكفر الشيخ (الدائرة الرابعة والسبعون) للإختصاص، وأبقت الفصل في المصروفات .| مصطفى أحمد عبد الفتاح يوسف على
نوفمبر 2024|11040 لسنة 52 ق|مكافآة تدريب أطباء الإمتيـــــــــــــــــاز.|أحكام بعدم الإختصــــاص|بعدم إختصاصها نوعيا بنظر الدعوى،وإحالتها بحالتها إلى محكمة القضاء الإداري بكفر الشيخ (الدائرة الرابعة والسبعون) للإختصاص، وأبقت الفصل في المصروفات .| مصطفى أحمد عبد الفتاح يوسف على
نوفمبر 2024|11888 لسنة 52 ق|مكافآة تدريب أطباء الإمتيـــــــــــــــــاز.|أحكام بعدم الإختصــــاص|بعدم إختصاصها نوعيا بنظر الدعوى،وإحالتها بحالتها إلى محكمة القضاء الإداري بكفر الشيخ (الدائرة الرابعة والسبعون) للإختصاص، وأبقت الفصل في المصروفات .| مصطفى أحمد عبد الفتاح يوسف على
