الشهر|رقم_الدعوي|الموضوع|تصنيفات_الأحكام|منطوق_الحكم|العضو
فبراير 2025|8964 لسنة 52 ق|وأن الدفع بعدم الاختصاص يعتبر مطروحا على المحكمة، ولو لم يتمسك به أحد الخصوم لتعلقه بالنظام العام.(حكم المحكمة الإدارية العليا في الطعن رقم وحيث إن المادة ( وتنص المادة ( وتنص المادة ( وحيث إن جدول معادلة وظائف التعليم المرفق بالقانون رقم الوقائع وحيث إن مفاد ما تقدم أن توزيع الاختصاص بين محكمة القضاء الإداري والمحاكم الإدارية بالنسبة للموظفين العموميين يقوم على أساس المستوى الوظيفي للعامل بحيث تختص محكمة القضاء الإداري بالمنازعات المتعلقة بالمستوى الوظيفي الأول والذي يعادل الدرجة الثانية وما يعلوها، بينما تختص المحاكم الإدارية بالمنازعات المتعلقة بالمستويين الثاني والثالث وهو ما يعادل الدرجة الثالثة فما دونها . وحيث إنه إعمالا لما تقدم ولما كان الثابت بالأوراق أن المدعية تشغل وظيفة أخصائي اجتماعي أول بمديرية التربية والتعليم بكفر الشيخ والتي تعادل الدرجة الثانية،ومن ثم تكون هذه المحكمة غير مختصة بنظر الدعوى الماثلة، وينعقد الاختصاص بنظرها لمحكمة القضاء الإداري بمحافظة كفر الشيخ _ الدائرة السابعة والسبعون_، الأمر الذي لا مناص معه من الحكم بعدم اختصاص هذه المحكمة نوعيا بنظر الدعوى الماثلة وإحالتها بحالتها إلى المحكمة المشار إليها للاختصاص عملا بحكم المادة (|أحكام بعدم الإختصــــاص|بعدم اختصاصها نوعيا بنظر الدعوى، وأمرت بإحالتها بحالتها إلى محكمة القضاء الإداري بمحافظة كفر الشيخ ـ الدائرة السابعة والسبعون|نبيل إبراهيم محمد مصلح منتصر
إبريل 2025|569 لسنة 53 ق|وأن الدفع بعدم الاختصاص يعتبر مطروحا على المحكمة، ولو لم يتمسك به أحد الخصوم لتعلقه بالنظام العام.(حكم المحكمة الإدارية العليا في الطعن رقم وحيث إن المادة ( وتنص المادة ( وتنص المادة ( وحيث إن جدول معادلة وظائف التعليم المرفق بالقانون رقم الوقائع الدائرة السادسة والسبعون : تختص بنظر المنازعات الإدارية المتعلقة بما يلي: وحيث إن مفاد ما تقدم أن توزيع الاختصاص بين محكمة القضاء الإداري والمحاكم الإدارية بالنسبة للموظفين العموميين يقوم على أساس المستوى الوظيفي للعامل بحيث تختص محكمة القضاء الإداري بالمنازعات المتعلقة بالمستوى الوظيفي الأول والذي يعادل الدرجة الثانية وما يعلوها، بينما تختص المحاكم الإدارية بالمنازعات المتعلقة بالمستويين الثاني والثالث وهو ما يعادل الدرجة الثالثة فما دونها . وحيث إنه إعمالا لما تقدم ولما كان الثابت بالأوراق أن المدعي يشغل الدرجة الثانية بالجهة المدعى عليها،ومن ثم تكون هذه المحكمة غير مختصة بنظر الدعوى الماثلة، وينعقد الاختصاص بنظرها لمحكمة القضاء الإداري بمحافظة كفر الشيخ _ الدائرة السادسة والسبعون_، الأمر الذي لا مناص معه من الحكم بعدم اختصاص هذه المحكمة نوعيا بنظر الدعوى الماثلة وإحالتها بحالتها إلى المحكمة المشار إليها للاختصاص عملا بحكم المادة (|أحكام بعدم الإختصــــاص|بعدم اختصاصها نوعيا بنظر الدعوى، وأمرت بإحالتها بحالتها إلى محكمة القضاء الإداري بمحافظة كفر الشيخ ـ الدائرة السادسة والسبعون- للاختصاص، وأبقت الفصل في المصروفات. صدر هذا الحكم وتلى علنا بالجلسة المنعقدة يوم الأحد الموافق السكرتير رئيس المحكمة|نبيل إبراهيم محمد مصلح منتصر
إبريل 2025|1620 لسنة 52 ق|وأن الدفع بعدم الاختصاص يعتبر مطروحا على المحكمة، ولو لم يتمسك به أحد الخصوم لتعلقه بالنظام العام. (حكم المحكمة الإدارية العليا في الطعن رقم ومن حيث إن المادة ( وتنص المادة ( وتنص المادة ( الوقائع الدائرة السادسة والسبعون : تختص بنظر المنازعات الإدارية المتعلقة بما يلي: وحيث إن مفاد ما تقدم أن توزيع الاختصاص بين محكمة القضاء الإداري والمحاكم الإدارية بالنسبة للموظفين العموميين يقوم على أساس المستوى الوظيفي للعامل بحيث تختص محكمة القضاء الإداري بالمنازعات المتعلقة بالمستوى الوظيفي الأول والذي يعادل الدرجة الثانية وما يعلوها، بينما تختص المحاكم الإدارية بالمنازعات المتعلقة بالمستويين الثاني والثالث وهو ما يعادل الدرجة الثالثة فما دونها . وترتيبا على ما تقدم، ولما كان الثابت من الأوراق أن المدعي يعمل بالجهة الإدارية المدعى عليها بالدرجة الثانية، ومن ثم تكون هذه المحكمة غير مختصة بنظر الدعوى الماثلة،وينعقد الاختصاص بنظرها لمحكمة القضاء الإداري بمحافظة كفر الشيخ ـالدائرة السادسة والسبعون_، الأمر الذي لا مناص معه من الحكم بعدم اختصاص هذه المحكمة نوعيا بنظر الدعوى الماثلة وإحالتها بحالتها إلى المحكمة المشار إليها للاختصاص عملا بحكم المادة (|أحكام بعدم الإختصــــاص|بعدم اختصاصها نوعيا بنظر الدعوى، وأمرت بإحالتها بحالتها إلى محكمة القضاء الإداري بمحافظة كفر الشيخ ـ الدائرة السادسة والسبعون- للاختصاص، وأبقت الفصل في المصروفات . صدر هذا الحكم وتلى علنا بالجلسة المنعقدة يوم الأحد الموافق السكرتير رئيس المحكمة|نبيل إبراهيم محمد مصلح منتصر
يناير 2025|352 لسنة 53 ق|مكافآة تدريب أطباء الإمتيـــــــــــــــــاز.|أحكام بعدم الإختصــــاص|بعدم اختصاصها نوعيا بنظر الدعوى، وإحالتها بحالتها إلى محكمة القضاء الإداري بكفر الشيخ (الدائرة الرابعة والسبعون)، للاختصاص، وأبقت الفصل في المصروفات صدر هذا الحكم وتلى علنا بالجلسة المنعقدة يوم الأحد الموافق السكرتير رئيس المحكمة|نبيل إبراهيم محمد مصلح منتصر
يناير 2025|353 لسنة 53 ق|مكافآة تدريب أطباء الإمتيـــــــــــــــــاز.|أحكام بعدم الإختصــــاص|بعدم اختصاصها نوعيا بنظر الدعوى، وإحالتها بحالتها إلى محكمة القضاء الإداري بكفر الشيخ (الدائرة الرابعة والسبعون)، للاختصاص، وأبقت الفصل في المصروفات صدر هذا الحكم وتلى علنا بالجلسة المنعقدة يوم الأحد الموافق السكرتير رئيس المحكمة|نبيل إبراهيم محمد مصلح منتصر
نوفمبر 2024|10976 لسنة 52 ق|مكافآة تدريب أطباء الإمتيـــــــــــــــــاز.|أحكام بعدم الإختصــــاص|بعدم اختصاصها نوعيا بنظر الدعوى، وإحالتها بحالتها إلى محكمة القضاء الإداري بكفر الشيخ (الدائرة الرابعة والسبعون)، للاختصاص، وأبقت الفصل في المصروفات السكرتير رئيس المحكمة|نبيل إبراهيم محمد مصلح منتصر
نوفمبر 2024|11335 لسنة 52 ق|مكافآة تدريب أطباء الإمتيـــــــــــــــــاز.|أحكام بعدم الإختصــــاص|بعدم اختصاصها نوعيا بنظر الدعوى، وإحالتها بحالتها إلى محكمة القضاء الإداري بكفر الشيخ (الدائرة الرابعة والسبعون)، للاختصاص، وأبقت الفصل في المصروفات السكرتير رئيس المحكمة|نبيل إبراهيم محمد مصلح منتصر
نوفمبر 2024|10975 لسنة 52 ق|مكافآة تدريب أطباء الإمتيـــــــــــــــــاز.|أحكام بعدم الإختصــــاص|بعدم اختصاصها نوعيا بنظر الدعوى، وإحالتها بحالتها إلى محكمة القضاء الإداري بكفر الشيخ (الدائرة الرابعة والسبعون)، للاختصاص، وأبقت الفصل في المصروفات السكرتير رئيس المحكمة|نبيل إبراهيم محمد مصلح منتصر
نوفمبر 2024|11292 لسنة 52 ق|مكافآة تدريب أطباء الإمتيـــــــــــــــــاز.|أحكام بعدم الإختصــــاص|بعدم اختصاصها نوعيا بنظر الدعوى، وإحالتها بحالتها إلى محكمة القضاء الإداري بكفر الشيخ (الدائرة الرابعة والسبعون)، للاختصاص، وأبقت الفصل في المصروفات السكرتير رئيس المحكمة|نبيل إبراهيم محمد مصلح منتصر
نوفمبر 2024|11336 لسنة 52 ق|مكافآة تدريب أطباء الإمتيـــــــــــــــــاز.|أحكام بعدم الإختصــــاص|بعدم اختصاصها نوعيا بنظر الدعوى، وإحالتها بحالتها إلى محكمة القضاء الإداري بكفر الشيخ (الدائرة الرابعة والسبعون)، للاختصاص، وأبقت الفصل في المصروفات السكرتير رئيس المحكمة|نبيل إبراهيم محمد مصلح منتصر
